insertion_id,license_plate,category,color,timestamp,gate,zone,description
6036650,-,pedestrian,undefined,2025-01-24 04:51:27.08+00,ganajan_car_in,50,ZONE 2 - Table
6036654,-,pedestrian,undefined,2025-01-24 04:51:31.52+00,ganajan_car_in,50,ZONE 2 - Table
6036687,MH28BQ3009,car,white,2025-01-24 04:52:04.92+00,ganajan_car_in,50,ZONE 2 - Table
6036688,MH38H6538,car,white,2025-01-24 04:52:12.16+00,ganajan_car_in,50,ZONE 2 - Table
6036691,MH15EB4122,car,white,2025-01-24 04:52:20.2+00,ganajan_car_in,50,ZONE 2 - Table
6036697,MH12WK4820,car,white,2025-01-24 04:52:24.76+00,ganajan_car_in,50,ZONE 2 - Table
6036701,MH31FE0447,car,white,2025-01-24 04:52:34.96+00,ganajan_car_in,50,ZONE 2 - Table
6036702,-,car,white,2025-01-24 04:52:40.92+00,ganajan_car_in,50,ZONE 2 - Table
6036706,-,pedestrian,undefined,2025-01-24 04:53:02.68+00,ganajan_car_in,50,ZONE 2 - Table
6036707,-,pedestrian,undefined,2025-01-24 04:53:06.6+00,ganajan_car_in,50,ZONE 2 - Table
6036708,-,car,white,2025-01-24 04:53:11+00,ganajan_car_in,50,ZONE 2 - Table
6036709,MH40CH0993,car,red,2025-01-24 04:53:14.88+00,ganajan_car_in,50,ZONE 2 - Table
6036713,-,pedestrian,undefined,2025-01-24 04:53:32.68+00,ganajan_car_in,50,ZONE 2 - Table
6036714,-,pedestrian,undefined,2025-01-24 04:54:23.24+00,ganajan_car_in,50,ZONE 2 - Table
6036726,MH40CH1177,car,white,2025-01-24 04:53:46.11+00,ganajan_car_in,50,ZONE 2 - Table
6036729,MH12NX9966,car,white,2025-01-24 04:53:48.92+00,ganajan_car_in,50,ZONE 2 - Table
6036735,-,motorcycle,undefined,2025-01-24 04:54:17.8+00,ganajan_car_in,50,ZONE 2 - Table
6036737,-,motorcycle,black,2025-01-24 04:54:06.32+00,ganajan_car_in,50,ZONE 2 - Table
6036745,-,motorcycle,undefined,2025-01-24 04:53:59.36+00,ganajan_car_in,50,ZONE 2 - Table
6036757,MH11DH1271,car,white,2025-01-24 04:54:32.6+00,ganajan_car_in,50,ZONE 2 - Table
6036760,-,pedestrian,undefined,2025-01-24 04:54:36.52+00,ganajan_car_in,50,ZONE 2 - Table
6036761,-,pedestrian,undefined,2025-01-24 04:54:36.96+00,ganajan_car_in,50,ZONE 2 - Table
6036765,-,pedestrian,undefined,2025-01-24 04:55:04.08+00,ganajan_car_in,50,ZONE 2 - Table
6036769,-,pedestrian,undefined,2025-01-24 04:55:05.56+00,ganajan_car_in,50,ZONE 2 - Table
6036774,-,pedestrian,undefined,2025-01-24 04:55:19.24+00,ganajan_car_in,50,ZONE 2 - Table
6036775,-,pedestrian,undefined,2025-01-24 04:55:20.72+00,ganajan_car_in,50,ZONE 2 - Table
6036777,AK6736,car,black,2025-01-24 04:55:46.68+00,ganajan_car_in,50,ZONE 2 - Table
6036779,-,pedestrian,undefined,2025-01-24 04:55:54.24+00,ganajan_car_in,50,ZONE 2 - Table
6036780,MH30BB1396,car,black,2025-01-24 04:55:55.84+00,ganajan_car_in,50,ZONE 2 - Table
6036781,MH38V1916,car,black,2025-01-24 04:55:59.6+00,ganajan_car_in,50,ZONE 2 - Table
6036782,-,pedestrian,undefined,2025-01-24 04:56:03.28+00,ganajan_car_in,50,ZONE 2 - Table
6036789,-,pedestrian,undefined,2025-01-24 04:56:16.52+00,ganajan_car_in,50,ZONE 2 - Table
6036798,-,pedestrian,undefined,2025-01-24 04:56:35.32+00,ganajan_car_in,50,ZONE 2 - Table
6036799,-,pedestrian,undefined,2025-01-24 04:56:35.2+00,ganajan_car_in,50,ZONE 2 - Table
6036800,-,pedestrian,undefined,2025-01-24 04:56:36.64+00,ganajan_car_in,50,ZONE 2 - Table
6036810,MH28AN4810,car,white,2025-01-24 04:56:55.64+00,ganajan_car_in,50,ZONE 2 - Table
6036814,-,pedestrian,undefined,2025-01-24 04:58:28.76+00,ganajan_car_in,50,ZONE 2 - Table
6036818,-,pedestrian,undefined,2025-01-24 04:57:08.4+00,ganajan_car_in,50,ZONE 2 - Table
